eng,dzo
This novel is written by famous american writer,སྲུང་རྩོམ་འདི་ཨ་མི་རི་ཀའི་རྩོམ་སྒྲིག་པ་སྐད་གྲགས་ཅན་གྱིས་བྲིས་ནུག།
This river isn't deep enough for this kind of boat.,གཙང་ཆུ་འདི་གྲུ་ཆུང་འདི་བཟུམ་གྱི་དོན་ལུ་གཏིང་ལངམ་སྦེ་མིན་འདུག
This semester I failed two students for plagiarism.,སློབ་དུས་འདི་ནང་ང་གི་སློབ་ཕྲུག་གཉིས་དཔེ་རྐུ་ལས་བརྟེན་མཐར་མ་འཁྱོལ།
This song reminds me of my junior high school days.,ཞབས་ཁྲ་འདི་གིས་ང་གི་འབྲིང་རིམ་སློབ་གྲྭ་བར་མའི་དུས་ཚོད་དྲན་གསོ་འབདཝ་མས།
This tree is the tallest and oldest in this forest.,ཤིང་འདི་ནགས་ཚལ་འདི་ནང་རིང་ཤོས་དང་རྒས་ཤོས་ཅིག་ཨིན།
Thousands of people became victims of this disease.,མི་སྟོང་ཕྲག་ལས་བཅས་ནད་གཞི་འདི་གི་གནོད་པ་ཕོག་ཡི།
To learn a foreign language requires a lot of time.,ཕྱི་རྒྱལ་གྱི་ཁ་སྐད་ལྷབ་ནི་གི་དོན་ལས་་དུས་ཚོད་ལེ་ཤ་དགོ་པས།
"To tell the truth, I don't like his way of talking.",བློ་དྲང་པོ་སླབ་ནི་གི་དོན་ལུ་ ང་གི་ཁོ་གི་བློ་སླབ་ཐངས་འདི་མི་དགའ་བས།
"To the best of my knowledge, the rumor is not true.",ང་གི་རིག་པ་དང་འཁྲིལ་བ་ཅིན་འཐོར་གཏམ་འདི་མི་བདེན།
Tufts University is a very famous school in Boston.,ཊཕས་གཙུག་ལག་སློབ་སྡེ་འདི་ བོས་ཊན་ལུ་སློབ་གྲྭ་སྐད་གྲགས་ཅན་ཅིག་ཨིན།
Up to that time he had been staying with his uncle.,དུས་ཚུད་ད་ལྟོ་ཚུན་ ཁོ་ ཁོ་རའི་ཨ་ཞང་དང་གཅིག་ཁར་སྡོད་ཡི།
Was your high school's basketball team a good team?,ཁྱོད་ཀྱི་སློབ་གྲྭ་གོང་མའི་དྲྭ་རིལ་རྩོདམོ་གི་སྡེ་ཚན་འདི་ སྡེ་ཚན་ལེགས་ཤོམ་སྡོད་ཡི་ག?
"Water is liquid. When it freezes, it becomes solid.",ཆུ་འདི་གཤེར་ཆུ་ཨིན། བསིལ་དྲགས་ཀྱི་དུས་ལུ་རྡོག་རྡོག་རིལ་རི་ལུ་འགྱུརཝ་ཨིན།
We all want to know why you weren't here yesterday.,ང་བཅས་ག་ར་ཁ་ཙ་ཁྱོད་ནཱ་མེད་པའི་ཁུངས་ག་ཅི་ཨིན་ན་ཤེས་དགོ་མནོ་ཡི།
We all wondered why she had dumped such a nice man.,ང་བཅས་ག་ར་ མོ་གི་ཕོ་རྒས་ལེགས་ཤོམ་འདི་བཟུམ་བཀོ་བཞག་མི་འདི་ག་ཅི་སྦེ་ཨིན་ན་ཧ་ལས་ཡི།
