eng,dzo,eng_to_dzo,dzo_to_eng
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",ཨིས་ཊེན་ཕོརཊ་སྨན་གྱི་གཙུག་ལག་སློབ་སྡེ་གི་ ཚན་རིག་མཁས་པ་ཚུ་གིས་ གཟའ་མིག་དམར་ལུ་ ཁམས་ཕྲན་གྱི་དབྱེ་བ་དང་འཁྲིལ་ཏེ་ ཁ་ཕྱེ་ཚུགས་མི་ ནད་ངོས་འཛིན་གྱི་ཅ་ཆས་གསརཔ་བཟོ་སྟེ་ཡོད་མི་གི་སྐོར་ལས་ གསལ་བསྒྲགས་འབད་ནུག ཅ་ཆས་འདི་ཡང་ ཟད་འགྲོ་ཡུ་ཨེས་སེནཊ་རེ་བཏང་ཞིནམ་ལས་ གློག་རིག་པར་བསྐྲུན་ལག་ལེན་འཐབ་སྟེ་ པར་བཏབ་ཚུགས་ནི་ཨིན་མས།,གཟའ་མིག་དམར་ལུ་ ཨིསི་ཀྲེན་ཕོརགྲ་གཙུག་ལག་སློབ་སྡེ་གི་སྨན་རིག་སློབ་གྲྭའི་ མཚོན་རིག་མཁས་པ་ཚུ་གིས་ ཁམས་ཕྲན་ཚུ་ དབྱེ་བ་ཕྱེ་ཚུགས་པའི་ བརྟག་དཔྱད་ཀྱི་ལག་ཆས་གསརཔ་ཅིག་ གསར་བཏོད་འབད་ཡོདཔ་སྦེ་ གསལ་བསྒྲགས་འབད་ཡོདཔ་ཨིན།,"Scientists at Stanford University of Medicine announced on Monday that they have developed a new diagnostic device that separates itself according to cell type, a device that can be photographed using electronic printing at a cost of US cents."
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",ཞིབ་འཚོལ་པ་གཙོ་ཅན་ཚུ་གིས་བཀོད་མི་ནང་ ཅ་ཆས་འདི་གིས་ ཨོམ་གྱི་ཀེན་སར་བཟུམ་གྱི་ནད་གཞི་ཐོབ་པ་ཅིན་ རྒྱལ་ཁབ་རྒྱུ་སྟོབས་ཅན་ཚུ་དང་ཕྱདཔ་ད་ལུ་ དྲག་ནི་གི་འོས་འབབ་ཕྱེད་ཀ་དེ་ཅིག་ལས་བརྒལ་མེད་མི་ འོང་འབབ་ཆུང་བའི་རྒྱལ་ཁབ་ཚུ་ནང་ལས་ཕར་ ནད་གཞི་ཀེན་སར་དང་ བད་ཀན དེ་ལས་ ཨེཆ་ཨའི་ཝི་དང་ཚད་པའི་ནད་གཞི་ཚུ་ མགྱོགས་སུ་ཅིག་འབད་ ངོས་འཛིན་འབད་ཚུགས་ནི་ཕན་ཐོགས་འབྱུང་འོང་ཟེར་བཤད་ཅི།,ཞིབ་འཚོལ་པ་གཙོ་བོ་ཚུ་གིས་སླབ་མི་ནང་ འདི་གིས་ འོང་འབབ་དམའ་བའི་རྒྱལ་ཁབ་ཚུ་ནང་ ནདཔ་ཚུ་ལུ་ ཀེན་སར་དང་ བད་ཀན་ དེ་ལས་ ཨེཆ་ཨའི་ཝི་ དེ་ལས་ ཚད་པའི་ནད་གཞི་ཚུ་ དུས་ཚོད་ཁར་ བརྟག་དཔྱད་འབད་ཚུགས་ནི་ཨིནམ་ད་ དེ་བསྒང་ ནུ་མའི་ཀེན་སར་བཟུམ་གྱི་ ནད་གཞི་ཚུ་ལས་ མི་ཚེ་གནས་ཚུགས་པའི་ ཚད་གཞི་འདི་ རྒྱལ་ཁབ་ཕྱུགཔོ་ཚུ་ལས་ ཕྱེད་ཀ་དེ་ཅིག་ འོང་ནི་མས་ཟེར་ཨིན་མས།,"Leading researchers say the device could help detect cancer, tuberculosis, HIV and malaria more quickly in low-income countries, where the chances of recovery are only half as high as those in rich countries."
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",གནམ་གྲུ་ཇེ་ཨེ་ཨེས་༣༩སི་གིར་པཱན་ཟེར་མི་འདི་ དྲོ་པ་ཆུ་ཚོད་ཕྱེད་ད་༡༠དེ་ཅིག་ཁར་ གནམ་གྲུ་ཐང་ནང་ལུ་ ཐུག་རྐྱེན་བྱུང་སྟེ་འགས་ཡོདཔ་ལས་ ཚོང་འབྲེལ་གྱི་གནམ་གྲུ་ཚུ་ འཕུར་ནི་ལས་ བཀག་ཆ་འབད་དགོཔ་ཐོན་ནུག,༉ དྲོ་པ་ཆུ་ཚོད་༩:༣༠ དེ་ཅིག་ཁར་ JAS 39C Gripen འདི་ གནམ་གྲུ་ཐང་ནང་ ཐུག་རྐྱེན་བྱུང་སྟེ་ འགས་འགྱོ་སྟེ་ ཚོང་འབྲེལ་གྱི་ གནམ་གྲུ་ཚུ་ སྒོ་བསྡམ་ཡོདཔ་ཨིན་པས།,"The aircraft, a JAS-39C Girpan, crashed into the airport and exploded at about 10.30am, forcing commercial flights to be suspended."
The pilot was identified as Squadron Leader Dilokrit Pattavee.,གནམ་གྲུ་འདི་གི་དེད་དཔོན་འདི་ མཁའ་དམག་འགོ་དཔོན་ དིལ་ལོ་ཀིརཊ་པ་ཊ་ཝི་ཨིནམ་སྦེ་ ངོས་འཛིན་འབད་ནུག,གནམ་གྲུ་བཏང་མི་འདི་ དམག་སྡེ་འགོ་ཁྲིདཔ་ ཌི་ལོ་ཀིརིཊ་པཊ་ཊ་ཝི་ཟེར་ཨིན་མས།,The pilot of the plane was identified as Air Lieutenant Dillo Kirt Patavi.
Local media reports an airport fire vehicle rolled over while responding.,ས་གནས་ཀྱི་བརྡ་བརྒྱུད་ནང་ལུ་ གནམ་གྲུ་ཐང་གི་ མེ་བསད་མི་སྣུམ་འཁོར་འདི་ མེ་བསད་སྡོད་པའི་སྐབས་ལུ་ རྦོབ་རིལ་སོང་ཡོདཔ་སྦེ་སྙན་ཞུ་འབད་་ཡོདཔ་ཨིན་མས།,ས་གནས་ཀྱི་བརྡ་བརྒྱུད་ཚུ་གིས་ ལན་གསལ་འབད་བའི་སྐབས་ གནམ་གྲུ་ཐང་གི་ མེ་བསད་སྣུམ་འཁོར་ཅིག་ བརྡུང་ཡོདཔ་སྦེ་ སྙན་ཞུ་འབདཝ་ཨིན་པས།,Local media reported that an airport fire truck had crashed while fighting a fire.
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",སྐྱེས་ལོ་༢༨ལང་མི་ ཝི་དཱལ་གྱིས་ སི་ཝི་ལ་རྐང་རྩེད་སྡེ་ཚན་ནང་ལས་ བར་ཀ་སྡེ་ཚན་ནང་ལུ་ དུས་གསུམ་གྱི་ཧེ་མ་ལས་འོང་ནུག,སྐྱེས་ལོ་༢༨ ལང་མི་ ཝི་ཌལ་གྱིས་ དུས་ཚོད་༣ གྱི་ཧེ་མ་ སེ་ཝི་ལ་ལས་ བཱར་ས་ལུ་ འཛུལ་ཡོདཔ་ཨིན་པས།,"Vidal, 28, came to Barca three seasons ago from Sevilla football club."
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",ཝི་དཱལ་གྱིས་ ཀེ་ཊ་ལེན་གྱི་རྒྱལ་ས་ལུ་འགྱོ་བའི་ཤུལ་ལུ་ སྡེ་ཚན་འདི་ནང་ལུ་ རྐང་རྩེད་རྩེད་འགྲན་༤༩རྩེད་ནུག,ཀེ་ཊ་ལན་གྱི་རྒྱལ་ས་ལྟེ་བ་ལུ་འགྱོ་ཞིནམ་ལས་ ཝི་ཌལ་གྱིས་ སྡེ་ཚན་གྱི་དོན་ལུ་ རྩེད་འགྲན་༤༩ རྩེད་ཡོདཔ་ཨིན་པས།,Vidal played 49 football games for the club after moving to the Catalan capital.
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",ངོ་བརྒལ་འགྲེམ་སྟོན་འདི་ དྲོ་པ་ཆུ་ཚོད་༡༡དེ་ཅིག་ལས་ ཁྲིམས་སྲུང་འགག་པ་ཚུ་ཡོད་སའི་ས་སྒོ་གི་གདོང་ཕྱོགས་ ཝའིཊ་ཧོལ་ལས་ བློན་ཆེན་གྱི་གཞུང་འབྲེལ་གཟིམ་ཅུང་ ཌ་འུ་ནིང་ཨིས་ཊིརཌ་ཚུན་ འགོ་བཙུགས་ནུག,ངོ་རྒོལ་འདི་ ས་གནས་ཀྱི་དུས་ཚོད་ ཆུ་ཚོད་༡༡:༠༠ དེ་ཅིག་ཁར་ བློན་ཆེན་གྱི་གཞུང་འབྲེལ་སྡོད་ཁྱིམ་ ཌའུ་ནིང་ཁྲོམ་ལམ་གྱི་ ཁྲིམས་སྲུང་འགག་པ་གིས་ ཉེན་སྲུང་འབད་མི་ འཛུལ་སྒོ་གི་གདོང་ཕྱོགས་ལུ་ ཝའིཊ་ཧོལ་ལུ་ འགོ་བཙུགས་ནུག།,"The demonstration started at around 11am, from Whitehall, opposite the police station, to Downing Street, the Prime Minister’s official residence."
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",ཆུ་ཚོད་༡༡བརྡུངམ་ཅིག་ ངོ་བརྒལ་འགྲེམ་སྟོན་འབད་མི་ཚུ་གིས་ ཝའིཊ་ཧོལ་ལུ་ བྱང་ཕྱོགས་ཁ་ཐུག་ལུ་འགྱོ་སའི་ལམ་འདི་ བཀག་བཞག་ནུག,ཆུ་ཚོད་༡༡ ལས་ ངོ་རྒོལ་འབད་མི་ཚུ་གིས་ ཝའིཊ་ཧོལ་ལུ་ བྱང་ཕྱོགས་ལུ་འགྱོ་མི་ ཤིང་རྟ་གུ་ འགྲུལ་སྐྱོད་བཀག་བཞག་ནུག།,"As soon as 11 o’clock struck, the rioters blocked the road leading north to Whitehall."
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",ཆུ་ཚོད་༡༡དང་སྐར་མ་༢༠ལུ་ ཁྲིམས་སྲུང་འགག་པ་གིས་ ངོ་བརྒལ་འགྲེམ་སྟོན་འབད་མི་ཚུ་ རྐང་ལམ་གུ་ རྒྱབ་བཤུད་རྐྱབ་དགོཔ་སྦེ་སླབ་ཡོདཔ་ད་ འདི་ཡང་ འགྲེམ་སྟོན་འབད་ནིའི་དབང་ཆ་ཡོད་རུང་ སྣུམ་འཁོར་ལེ་ཤ་ ལམ་བཀག་སྟེ་ལུས་ཡོདཔ་ལས་ འདི་ཚུ་གཏང་དགོ་ནི་འདི་གི་ཨིན་པས།,ཆུ་ཚོད་༡༡:༢༠ ལུ་ ཁྲིམས་སྲུང་འགག་པ་གིས་ ངོ་རྒོལ་འབད་མི་ཚུ་ ལོག་སྟེ་ ལམ་བདའ་སྟེ་ འགྱོ་དགོཔ་སྦེ་ སླབ་སྟེ་ ངོ་རྒོལ་གྱི་ ཐོབ་དབང་འདི་ འགྲུལ་སྐྱོད་ཡར་སེང་འགྱོ་མི་དང་ འདྲ་མཉམ་བཟོ་དགོཔ་སྦེ་ སླབ་ནུག།,"At 11:20 pm, police ordered the protesters to retreat to the footpath because many vehicles were blocking the road despite the right to demonstrate."
